Participant_ID,Timestamp,AnimationType,Angle
11,"2024-07-23 19:00:35,808",validate handover,73.33534422022163
11,"2024-07-23 19:01:14,249",start handover,73.48491088360089
11,"2024-07-23 19:02:14,477",survivor,73.81452952098051
12,"2024-07-24 10:57:09,906",R,41.70207283579188
12,"2024-07-24 10:58:37,797",heliocpter text,31.767349604166448
12,"2024-07-24 11:01:35,919",start handover,54.06533395712729
12,"2024-07-24 11:03:06,509",mapping,62.49801016428634
12,"2024-07-24 11:04:18,971",fire,54.468552847734635
12,"2024-07-24 11:05:02,711",survivor,52.66123337533255
12,"2024-07-24 11:05:53,103",validate handover,49.02018142344231
12,"2024-07-24 11:06:53,055",hazardous materials,52.156908294046225
