2024-08-08 11:50:09,312 - takeoff,none,[ 0.16918655 -3.46023726  1.46693289]
2024-08-08 11:50:09,512 - takeoff,none,[ 0.16867736 -3.45976257  1.46596515]
2024-08-08 11:50:09,720 - takeoff,none,[ 0.16867937 -3.45980692  1.465976  ]
2024-08-08 11:50:09,928 - takeoff,none,[ 0.16879608 -3.45991015  1.46613371]
2024-08-08 11:50:10,131 - takeoff,none,[ 0.16865066 -3.45969129  1.4660449 ]
2024-08-08 11:50:10,340 - takeoff,none,[ 0.16917901 -3.4601531   1.4669615 ]
2024-08-08 11:50:10,544 - takeoff,none,[ 0.16862354 -3.45968843  1.46604991]
2024-08-08 11:50:10,761 - takeoff,none,[ 0.16865879 -3.45971799  1.4660728 ]
2024-08-08 11:50:10,977 - takeoff,none,[ 0.16865599 -3.4596951   1.46607447]
2024-08-08 11:50:11,180 - takeoff,none,[ 0.16867565 -3.4597373   1.46603572]
2024-08-08 11:50:11,387 - takeoff,none,[ 0.1687084  -3.45976448  1.4660573 ]
2024-08-08 11:50:11,635 - takeoff,none,[ 0.16869241 -3.4597652   1.46610928]
2024-08-08 11:50:11,841 - takeoff,none,[ 0.16867782 -3.45971918  1.46597266]
2024-08-08 11:50:12,061 - takeoff,none,[ 0.16889326 -3.4600265   1.46624839]
2024-08-08 11:50:12,380 - takeoff,none,[ 0.16868618 -3.4597559   1.46607649]
2024-08-08 11:50:12,586 - takeoff,none,[ 0.16891296 -3.45994329  1.46632814]
2024-08-08 11:50:12,818 - takeoff,none,[ 0.16868696 -3.4597621   1.46605349]
2024-08-08 11:50:13,063 - takeoff,none,[ 0.16867118 -3.45974445  1.46605432]
2024-08-08 11:50:13,263 - takeoff,none,[ 0.16875878 -3.45985436  1.46603882]
2024-08-08 11:50:13,472 - takeoff,none,[ 0.16887191 -3.46001911  1.46608603]
2024-08-08 11:50:13,685 - takeoff,none,[ 0.16885158 -3.45998716  1.46608746]
2024-08-08 11:50:13,894 - takeoff,none,[ 0.16884461 -3.46001244  1.4660964 ]
2024-08-08 11:50:14,095 - takeoff,none,[ 0.16919133 -3.46013021  1.46698141]
2024-08-08 11:50:14,356 - takeoff,none,[ 0.16896324 -3.45997357  1.46638894]
2024-08-08 11:50:14,569 - takeoff,none,[ 0.16912553 -3.46013451  1.46696842]
2024-08-08 11:50:14,769 - takeoff,none,[ 0.16870566 -3.45975542  1.46604347]
2024-08-08 11:50:14,970 - takeoff,none,[ 0.16919267 -3.46018434  1.46698773]
2024-08-08 11:50:15,174 - takeoff,none,[ 0.16869494 -3.4597652   1.46606314]
2024-08-08 11:50:15,378 - takeoff,none,[ 0.16865332 -3.45970464  1.46604764]
2024-08-08 11:50:15,583 - takeoff,none,[ 0.16890876 -3.45992708  1.46640408]
2024-08-08 11:50:15,786 - takeoff,none,[ 0.16870332 -3.45978928  1.46604645]
2024-08-08 11:50:15,992 - takeoff,none,[ 0.16922885 -3.46015692  1.46697247]
2024-08-08 11:50:16,199 - takeoff,none,[ 0.1688657  -3.46002793  1.46610641]
2024-08-08 11:50:16,423 - takeoff,none,[ 0.16869703 -3.45976663  1.46604156]
2024-08-08 11:50:16,627 - takeoff,none,[ 0.16875547 -3.45985293  1.46611905]
2024-08-08 11:50:16,868 - takeoff,none,[ 0.16874221 -3.45985913  1.46598899]
2024-08-08 11:50:17,087 - takeoff,none,[ 0.16875087 -3.4598124   1.46602774]
2024-08-08 11:50:17,302 - takeoff,none,[ 0.16868524 -3.45976996  1.46598649]
2024-08-08 11:50:17,505 - go to position WP1,none,[ 0.16877684 -3.45985293  1.46605492]
2024-08-08 11:50:17,735 - go to position WP1,none,[ 0.16892402 -3.45997524  1.46642697]
2024-08-08 11:50:17,935 - go to position WP1,none,[ 0.16866034 -3.45971584  1.46607232]
2024-08-08 11:50:18,142 - go to position WP1,none,[ 0.16871591 -3.45978379  1.46605325]
2024-08-08 11:50:18,364 - go to position WP1,none,[ 0.16868065 -3.45976138  1.46604466]
2024-08-08 11:50:18,587 - go to position WP1,none,[ 0.16874117 -3.45981836  1.46604478]
2024-08-08 11:50:18,790 - go to position WP1,none,[ 0.16865659 -3.45968676  1.46598685]
2024-08-08 11:50:18,990 - go to position WP2,none,[ 0.16886176 -3.45997715  1.46609223]
2024-08-08 11:50:19,208 - go to position WP2,none,[ 0.16913176 -3.46012378  1.46692491]
2024-08-08 11:50:19,417 - go to position WP2,none,[ 0.16891171 -3.45995855  1.4663552 ]
