2024-08-27 10:29:15,108 - takeoff,none,[0. 0. 0.],[1.5304141  3.59230399 1.533584  ],-3.0416308705589894
2024-08-27 10:29:15,325 - takeoff,none,[0. 0. 0.],[1.52983844 3.59154272 1.54402506],-3.038909292895819
2024-08-27 10:29:15,525 - takeoff,none,[0. 0. 0.],[1.52693152 3.58793616 1.55025101],-3.03169641795923
2024-08-27 10:29:15,726 - takeoff,none,[0. 0. 0.],[1.52162433 3.58451629 1.55207479],-3.0698333057853198
2024-08-27 10:29:15,926 - takeoff,none,[0. 0. 0.],[1.52243471 3.58347058 1.55930889],-3.038987639095927
2024-08-27 10:29:16,144 - takeoff,none,[0. 0. 0.],[1.51818383 3.57905054 1.56231344],-3.0398850933218107
2024-08-27 10:29:16,399 - takeoff,none,[0. 0. 0.],[1.51651073 3.57469416 1.57226217],-3.043829617715813
2024-08-27 10:29:16,612 - takeoff,none,[0. 0. 0.],[1.52078688 3.57884336 1.5928421 ],-3.0446497117010276
2024-08-27 10:29:16,849 - takeoff,none,[0. 0. 0.],[1.52480197 3.5814836  1.615309  ],-3.051516574822353
2024-08-27 10:29:17,078 - takeoff,none,[0. 0. 0.],[1.5320698  3.58453703 1.63589334],-3.060422790798097
2024-08-27 10:29:17,302 - takeoff,none,[0. 0. 0.],[1.53534222 3.58560181 1.64901209],-3.0772133480242925
2024-08-27 10:29:17,507 - takeoff,none,[0. 0. 0.],[1.53865576 3.58401704 1.66436779],-3.066176295049564
2024-08-27 10:29:17,718 - takeoff,none,[0. 0. 0.],[1.54149377 3.58218479 1.67520118],-3.0685465259801656
2024-08-27 10:29:18,019 - takeoff,none,[0. 0. 0.],[1.54277956 3.57927918 1.68902349],-3.0732212647254986
2024-08-27 10:29:18,225 - takeoff,none,[0. 0. 0.],[1.54288447 3.5763576  1.70144832],-3.093648276882509
2024-08-27 10:29:18,439 - go to position WP0,none,[0. 0. 0.],[1.54428005 3.57609153 1.71089756],-3.082009117766912
2024-08-27 10:29:18,645 - go to position WP0,none,[0. 0. 0.],[1.5453794  3.57661414 1.72535408],-3.0907796310148004
2024-08-27 10:29:18,848 - go to position WP0,none,[0. 0. 0.],[1.54984951 3.57843566 1.73848093],-3.0834340474339585
2024-08-27 10:29:19,054 - go to position WP0,none,[0. 0. 0.],[1.55816448 3.58275795 1.74883151],-3.099070852253589
2024-08-27 10:29:19,269 - go to position WP0,none,[0. 0. 0.],[1.56320465 3.58509779 1.75779152],-3.0919387697722414
2024-08-27 10:29:19,478 - go to position WP0,none,[0. 0. 0.],[1.56682885 3.58698225 1.76269555],-3.1033761552214725
2024-08-27 10:29:19,724 - go to position WP0,none,[0. 0. 0.],[1.57295299 3.59293127 1.77918577],-3.106089906423916
